step,percent,mean_exact,mean_hll,std_hll,mean_improved,std_improved
1,5,37918.5,37767.4,760.2,37767.4,760.2
2,10.0,60687.7,60988.8,1765.2,60988.8,1765.2
3,15.0,74483.0,75012.2,1501.4,75012.2,1501.4
4,20.0,82799.7,83757.4,2328.2,83757.4,2328.2
5,25.0,87848.4,88608.4,1837.5,88608.4,1837.5
6,30.0,90929.3,91748.4,2231.4,91748.4,2231.4
7,35.0,92771.9,93455.4,2363.4,93455.4,2363.4
8,40.0,93892.1,94502.5,2152.8,94502.5,2152.8
9,45.0,94577.0,95024.2,2154.6,95024.2,2154.6
10,50.0,94976.9,95265.7,2170.3,95265.7,2170.3
11,55.0,95228.9,95469.7,2177.7,95469.7,2177.7
12,60.0,95375.7,95585.7,2132.7,95585.7,2132.7
13,65.0,95466.4,95667.7,2226.6,95667.7,2226.6
14,70.0,95521.4,95678.6,2211.3,95678.6,2211.3
15,75.0,95553.3,95678.6,2211.3,95678.6,2211.3
16,80.0,95572.3,95700.1,2229.6,95700.1,2229.6
17,85.0,95583.6,95700.1,2229.6,95700.1,2229.6
18,90.0,95591.2,95700.1,2229.6,95700.1,2229.6
19,95.0,95596.4,95734.1,2246.3,95734.1,2246.3
20,100.0,95599.9,95734.1,2246.3,95734.1,2246.3
