step,percent,exact,estimate_hll,estimate_improved
1,5,19163,18888.9,18888.9
2,10.0,30551,29953.5,29953.5
3,15.0,37496,35751.9,35751.9
4,20.0,41589,40273.1,40273.1
5,25.0,44125,43163.7,43163.7
6,30.0,45709,45959.5,45959.5
7,35.0,46669,47218.3,47218.3
8,40.0,47231,47578.3,47578.3
9,45.0,47602,47955.8,47955.8
10,50.0,47796,48468.0,48468.0
11,55.0,47912,48614.2,48614.2
12,60.0,47994,48847.5,48847.5
13,65.0,48046,48921.6,48921.6
14,70.0,48075,48921.6,48921.6
15,75.0,48092,48921.6,48921.6
16,80.0,48101,48921.6,48921.6
17,85.0,48107,48921.6,48921.6
18,90.0,48111,48921.6,48921.6
19,95.0,48113,48921.6,48921.6
20,100.0,48114,48921.6,48921.6
