step,percent,mean_exact,mean_hll,std_hll,mean_improved,std_improved
1,5,19034.6,18863.6,397.7,18863.6,397.7
2,10.0,30482.7,30443.9,907.0,30443.9,907.0
3,15.0,37409.6,37446.4,1292.1,37446.4,1292.1
4,20.0,41603.4,41877.8,873.4,41877.8,873.4
5,25.0,44153.5,44565.3,985.7,44565.3,985.7
6,30.0,45706.3,46296.5,909.2,46296.5,909.2
7,35.0,46644.4,47294.5,860.9,47294.5,860.9
8,40.0,47208.6,47832.8,893.5,47832.8,893.5
9,45.0,47558.1,48215.0,1061.0,48215.0,1061.0
10,50.0,47765.0,48434.6,1069.6,48434.6,1069.6
11,55.0,47889.4,48541.8,1077.8,48541.8,1077.8
12,60.0,47970.4,48629.4,1067.1,48629.4,1067.1
13,65.0,48018.2,48659.9,1071.8,48659.9,1071.8
14,70.0,48045.9,48681.2,1068.6,48681.2,1068.6
15,75.0,48060.6,48693.3,1066.0,48693.3,1066.0
16,80.0,48068.8,48695.6,1068.7,48695.6,1068.7
17,85.0,48074.5,48723.4,1089.4,48723.4,1089.4
18,90.0,48077.5,48739.2,1085.1,48739.2,1085.1
19,95.0,48080.1,48746.6,1086.2,48746.6,1086.2
20,100.0,48081.8,48746.6,1086.2,48746.6,1086.2
