step,percent,exact,estimate_hll,estimate_improved
1,5,37994,37589.5,37589.5
2,10.0,60788,58047.7,58047.7
3,15.0,74475,73837.4,73837.4
4,20.0,82712,80397.2,80397.2
5,25.0,87715,84933.5,84933.5
6,30.0,90833,87985.7,87985.7
7,35.0,92712,89346.0,89346.0
8,40.0,93807,91178.1,91178.1
9,45.0,94472,91860.1,91860.1
10,50.0,94886,91892.9,91892.9
11,55.0,95134,92188.5,92188.5
12,60.0,95267,92519.2,92519.2
13,65.0,95375,92519.2,92519.2
14,70.0,95442,92628.6,92628.6
15,75.0,95474,92628.6,92628.6
16,80.0,95491,92628.6,92628.6
17,85.0,95504,92628.6,92628.6
18,90.0,95510,92628.6,92628.6
19,95.0,95516,92628.6,92628.6
20,100.0,95520,92628.6,92628.6
